TIME_PERIOD,pageRank_repro.wpr,close_repro.closeness,outdegree_repro.degree,indegree_repro.degree,local_clust_tt_repro,local_clust_out_repro
2000,0.009054688252526427,6679.506989022586,1823.2152209887083,1705.9542899138485,0.03454124967209082,0.07866845166165178
2001,0.008819855300197499,6261.208547827781,1633.0646044813275,1520.2288687977514,0.03431266079781704,0.087969453665231
2002,0.008463013454910984,6214.4455123821845,1624.8212585608499,1521.2858373110498,0.03344729277248764,0.09057311375978755
2003,0.008389762201153571,6722.262978901089,1777.5511363389155,1646.03333641992,0.03278702929690594,0.08539444609865177
2004,0.00826998462547692,7751.600564266775,2081.549983508286,1898.603897914719,0.03187101553061146,0.08082078859090526
2005,0.008022909392607275,8467.580203300975,2262.8567950722068,2047.253617468245,0.029151095001099046,0.07910210371784308
2006,0.007989475126639596,9651.473959357165,2541.98694198525,2272.7871864806734,0.02843085405978909,0.07878208259811352
2007,0.007646290537769808,10739.074110112018,2811.6608032146823,2450.8342167927776,0.02833858117465249,0.07535928194695084
2008,0.007349209232584677,11447.978155462299,2954.1370708418326,2494.747923286694,0.029773982016987454,0.08131038720592194
2009,0.007271734885059884,9989.937127369543,2557.238958874237,2152.787088888646,0.030213351033843826,0.0825749044250097
2010,0.007338597241240873,11815.828438095385,3041.1169128194365,2524.445452849342,0.031660450055596215,0.08057831585356125
2011,0.007077709074615183,12795.144516719332,3239.9517742953662,2651.868356971728,0.030446012608436043,0.08597780309230932
2012,0.0072872402561345055,13177.203897828429,3305.141827980555,2674.889288190973,0.028460821026105875,0.08120141926649398
2013,0.0073199099219692105,13771.285889368693,3435.8624386354295,2755.286231337796,0.026894864728532426,0.08353140841520326
2014,0.007441220313300117,14367.581033099468,3569.0845927357377,2827.720502710823,0.028471312895752433,0.08748687939948906
2015,0.007574139694757665,14120.901736131244,3577.2761046989817,2819.933161810909,0.025568231034242765,0.07887185759284279
2016,0.007855069918542738,13896.64231651082,3525.7945674973375,2816.578077113576,0.02436617927990785,0.07663728732125115
2017,0.007723103898959489,15232.861947972757,3843.4681349556386,3044.448214591906,0.025241606889322848,0.08233045344545276
2018,0.008051592815610051,16407.271931805342,4075.980290226294,3240.6149416679445,0.027680146703401222,0.07869892231653619
2019,0.00804582836052853,16442.73332300194,4012.076424755864,3160.4372524667956,0.032858555339078825,0.07911716894659127
2020,0.008022439681798646,16624.85679779955,4068.1418670626213,3237.47981818509,0.035094933934524,0.08134952812961449
2021,0.007857290093218979,19475.358373478917,4854.777616514243,3798.571305966542,0.02996738453362197,0.08041851502277578
2022,0.008335620790645454,20632.25204673112,5189.1619326004475,4002.690234934904,0.030281480833670636,0.07894478644908871
2023,0.008270891384705284,20176.403193530627,5052.848140926809,3865.159411991561,0.027243448383203077,0.07183990759644708
