"","model_terms","X.x","est_u","lci_u","odds_u","uci_u","pvals_u","X.y","est_r","lci_r","odds_r","uci_r","pvals_r","X","est_t","lci_t","odds_t","uci_t","pvals_t"
"1","Form(1)~absdiff.D_log_gdp_pc",3,-1.9773030121752,0.1111,0.1384,0.1726,2.97389430472416e-69,3,-0.982807542996393,0.3226,0.3743,0.4342,1.85828145595214e-38,3,-0.439150481574033,0.5806,0.6446,0.7156,1.79526068136116e-16
"2","Form(1)~edgecov.col_mat",12,-0.226494677517897,0.7687,0.7973,0.827,5.88262053488041e-34,12,-0.128221069448782,0.8527,0.8797,0.9075,7.04021434185522e-16,12,-0.0596145085203517,0.9147,0.9421,0.9704,7.59597767375629e-05
"3","Form(1)~edgecov.colony",11,0.676736000029863,1.8073,1.9674,2.1418,5.97754393404765e-55,11,0.536491715248217,1.5241,1.71,1.9186,6.86056045689354e-20,11,0.311231169960713,1.0491,1.3651,1.7763,0.0205303221544529
"4","Form(1)~edgecov.contig_mat",10,0.955791922389062,2.4392,2.6007,2.773,2.58015663716911e-187,10,0.539099116640311,1.5807,1.7145,1.8595,1.12020360559612e-38,10,-0.27161437124794,0.6488,0.7621,0.8954,0.000951529160093845
"5","Form(1)~edgecov.lang_mat",13,0.359425164289495,1.3924,1.4325,1.4738,6.98586650774544e-136,13,0.222432351370343,1.2161,1.2491,1.283,1.31114202617103e-59,13,0.039323151871155,1.0122,1.0401,1.0688,0.00462346607943353
"6","Form(1)~edgecov.log_dist",9,-0.0146745360749122,0.9724,0.9854,0.9987,0.0310410279008591,9,-0.00760000856959432,0.9807,0.9924,1.0043,0.209826448970047,9,-0.0408681083747609,0.9482,0.96,0.9718,6.9681047908207e-11
"7","Form(1)~edgecov.net_dynamic_rta",7,0.542556990051839,1.6836,1.7204,1.758,0,7,0.526104529557765,1.6588,1.6923,1.7266,0,7,0.397927586828669,1.447,1.4887,1.5316,7.23839645826368e-166
"8","Form(1)~edges",1,-3.88057670265344,0.0183,0.0206,0.0233,0,1,-3.26883728753124,0.0342,0.0381,0.0424,0,1,-1.79905665415871,0.1482,0.1655,0.1847,3.29860059375699e-224
"9","Form(1)~mix.development.0.1",5,0.897855253827915,2.391,2.4543,2.5194,0,5,0.0870804419113656,1.0644,1.091,1.1183,4.86990849055634e-12,5,0.218959252033591,1.2092,1.2448,1.2814,1.1500345281406e-49
"10","Form(1)~mix.development.1.0",4,0.433797180039208,1.4999,1.5431,1.5876,1.708543347892e-196,4,0.963537184808099,2.5567,2.621,2.6868,0,4,0.0151668344700663,0.9836,1.0153,1.048,0.348037885956713
"11","Form(1)~mix.development.1.1",6,0.969695571771295,2.5307,2.6371,2.748,0,6,0.564914430584257,1.6654,1.7593,1.8585,1.68831010330425e-90,6,0.0538205327981743,0.9712,1.0553,1.1467,0.204251026223397
"12","Form(1)~mutual",14,1.93653651533509,6.7628,6.9347,7.111,0,14,1.55554678954503,4.6335,4.7377,4.8442,0,14,1.33073004295448,3.7057,3.7838,3.8636,0
"13","Form(1)~nodecov.D_log_gdp_pc",2,0.202863961265238,1.0646,1.2249,1.4093,0.00458535310952764,2,0.162244642995407,1.0571,1.1761,1.3086,0.00288833266735598,2,0.0808864658149136,0.9971,1.0842,1.179,0.0583560515750711
"14","Form(1)~nodematch.landlocked",8,0.125914776547654,1.1089,1.1342,1.16,6.36370901655284e-28,8,0.0548068926310814,1.0358,1.0563,1.0772,4.28663308241476e-08,8,-0.00658085055285984,0.975,0.9934,1.0123,0.492032096588766
"15","Persist(1)~absdiff.D_log_gdp_pc",17,-0.784829166323121,0.3542,0.4562,0.5876,1.23945951812809e-09,17,-0.880396019582087,0.352,0.4146,0.4884,6.09591651719635e-26,17,-0.46153426619812,0.5725,0.6303,0.694,5.57042977290316e-21
"16","Persist(1)~edgecov.col_mat",26,-0.233023755276103,0.7575,0.7921,0.8284,1.88408890887123e-24,26,-0.102648173005313,0.8719,0.9024,0.934,5.12120678346272e-09,26,-0.0858212639889023,0.8905,0.9178,0.9459,2.52837082716002e-08
"17","Persist(1)~edgecov.colony",25,0.62151780993649,1.7208,1.8618,2.0142,5.70852934513431e-54,25,0.876076737866837,2.1604,2.4015,2.6694,3.66775280353634e-59,25,1.92188212304286,4.9249,6.8338,9.4826,1.45900227839611e-30
"18","Persist(1)~edgecov.contig_mat",24,0.488668772264509,1.5281,1.6301,1.739,1.36501366586877e-49,24,0.833498109384203,2.1268,2.3014,2.4903,4.18438852708497e-95,24,1.51176536358158,3.717,4.5347,5.5323,3.72252507716606e-50
"19","Persist(1)~edgecov.lang_mat",27,0.147318084029382,1.1214,1.1587,1.1973,1.25819731303681e-18,27,0.180046876022223,1.1627,1.1973,1.2329,2.73778017502964e-33,27,-0.0530711713350856,0.9228,0.9483,0.9746,0.000140789980634111
"20","Persist(1)~edgecov.log_dist",23,0.0113573163350666,0.9954,1.0114,1.0277,0.16297380707596,23,-0.0200627640501805,0.9669,0.9801,0.9935,0.00375220944187231,23,-0.0175393158353128,0.9706,0.9826,0.9948,0.00528573943431312
"21","Persist(1)~edgecov.net_dynamic_rta",21,0.0691930922590623,1.045,1.0716,1.099,7.49904294821128e-08,21,0.3040972998196,1.3267,1.3554,1.3847,2.12532624511073e-170,21,0.731521153870325,2.019,2.0782,2.1393,0
"22","Persist(1)~edges",15,-0.240589575858139,0.6813,0.7862,0.9071,0.000989844473969553,15,0.497720484367237,1.4552,1.645,1.8595,1.79772978375849e-15,15,0.971243204229496,2.3651,2.6412,2.9496,1.63904546530575e-66
"23","Persist(1)~mix.development.0.1",19,0.529294220433267,1.6435,1.6977,1.7538,6.46612607217622e-224,19,-0.357196069360818,0.6797,0.6996,0.7202,5.16374712632222e-129,19,0.460648731297625,1.5415,1.5851,1.63,3.48041189832981e-229
"24","Persist(1)~mix.development.1.0",18,0.11985670481279,1.0897,1.1273,1.1663,4.85220888118693e-12,18,1.10751923760435,2.947,3.0268,3.1089,0,18,0.943478186915705,2.4872,2.5689,2.6533,0
"25","Persist(1)~mix.development.1.1",20,0.974370928386181,2.5296,2.6495,2.7751,0,20,1.29769840887002,3.4745,3.6609,3.8573,0,20,1.29669302732952,3.3711,3.6572,3.9675,1.81383165503671e-213
"26","Persist(1)~mutual",28,1.54373744451836,4.5403,4.6821,4.8282,0,28,1.47931690752814,4.2751,4.3899,4.5079,0,28,1.84856019395659,6.2133,6.3507,6.4911,0
"27","Persist(1)~nodecov.D_log_gdp_pc",16,0.945114555555908,2.1939,2.5731,3.0179,3.53316266381301e-31,16,0.527183177609916,1.5002,1.6942,1.9132,1.99851258668864e-17,16,0.0856576935977328,1.0049,1.0894,1.1811,0.0378375493358952
"28","Persist(1)~nodematch.landlocked",22,0.254191108480516,1.2543,1.2894,1.3256,1.53102597927673e-72,22,0.205569575500078,1.2013,1.2282,1.2557,6.07143144384903e-74,22,0.178696613218951,1.1731,1.1957,1.2187,4.03977545684916e-75
