,year,total_previous_u_ties,persisted_u,new_u,survival_rate_u,formation_rate_u,total_previous_r_ties,persisted_r,new_r,survival_rate_r,formation_rate_r,total_previous_t_ties,persisted_t,new_t,survival_rate_t,formation_rate_t
0,1996,3191,2472,829,0.7746787840802256,0.25979316828580384,7406,6318,1183,0.8530920874966244,0.15973534971644612,19347,17810,1973,0.9205561585775572,0.10197963508554297
1,1997,3301,2512,920,0.7609815207512874,0.27870342320508934,7501,6315,1247,0.8418877483002266,0.16624450073323557,19783,18148,1870,0.9173532831218724,0.09452560279027448
2,1998,3432,2562,954,0.7465034965034965,0.27797202797202797,7562,6411,1476,0.8477915895265803,0.19518645860883363,20018,18547,2169,0.9265161354780698,0.10835248276551104
3,1999,3516,2632,1241,0.7485779294653014,0.3529579067121729,7887,6639,1737,0.8417649296310384,0.22023583111449221,20716,18952,2570,0.9148484263371307,0.12405869859046148
4,2000,3873,2966,1554,0.7658146139943196,0.40123934934159566,8376,7281,2483,0.869269340974212,0.29644221585482333,21522,19859,3407,0.9227302295325713,0.15830313167921198
5,2001,4520,3334,1270,0.7376106194690265,0.2809734513274336,9764,8184,1699,0.8381810733306022,0.17400655469070053,23266,21370,2196,0.91850769363019,0.09438665864351414
6,2002,4604,3386,1309,0.7354474370112946,0.28431798436142486,9883,8361,1811,0.845998178690681,0.1832439542648993,23566,21657,2259,0.9189934651616736,0.09585844012560468
7,2003,4695,3479,1371,0.7410010649627263,0.29201277955271565,10172,8557,1781,0.8412308297286669,0.1750884781753834,23916,22095,2228,0.9238585047666834,0.09315939120254223
8,2004,4850,3718,1439,0.7665979381443299,0.29670103092783506,10338,8767,2017,0.8480363706713098,0.1951054362545947,24323,22366,2209,0.9195411750195288,0.09081938905562636
9,2005,5157,3823,1402,0.7413224743067675,0.2718634865231724,10784,9083,2007,0.8422663204747775,0.18610905044510387,24575,22740,2182,0.9253306205493388,0.08878942014242117
10,2006,5225,3989,1515,0.763444976076555,0.28995215311004785,11090,9307,1940,0.839224526600541,0.17493237150586113,24922,23027,2173,0.9239627638231281,0.08719203916218601
11,2007,5504,4167,1536,0.7570857558139535,0.27906976744186046,11247,9519,2055,0.8463590290744198,0.18271539077087223,25200,23342,2116,0.9262698412698412,0.08396825396825397
12,2008,5703,4312,1522,0.7560932842363668,0.2668770822374189,11574,9652,1981,0.8339381372040781,0.1711594954207707,25458,23621,2108,0.9278419357372928,0.08280304815775003
13,2009,5834,4216,1430,0.7226602673980117,0.24511484401782654,11633,9703,2020,0.8340926674116736,0.17364394395254878,25729,23795,2106,0.9248319017451125,0.08185316180185782
14,2010,5646,4209,1529,0.7454835281615303,0.27081119376549767,11723,9792,1915,0.8352810713981063,0.16335409024993602,25901,24088,1990,0.9300027025983553,0.0768310103856994
15,2011,5738,4197,1474,0.7314395259672359,0.2568839316835134,11707,9809,2062,0.8378747757751772,0.1761339369607927,26078,24341,2125,0.9333921312984125,0.08148631029986962
16,2012,5671,4247,1498,0.7488979016046553,0.2641509433962264,11871,9934,2062,0.8368292477466094,0.17370061494398112,26466,24666,2262,0.9319882112899569,0.08546814781228747
17,2013,5745,4331,1503,0.7538729329852045,0.2616187989556136,11996,9967,1847,0.8308602867622541,0.1539679893297766,26928,25037,1909,0.9297756981580511,0.07089275103980987
18,2014,5834,4392,1544,0.7528282482002057,0.2646554679465204,11814,10024,1988,0.8484848484848485,0.16827492805146435,26946,25198,1924,0.935129518295851,0.07140206338603132
19,2015,5936,4430,1655,0.7462938005390836,0.27880727762803237,12012,10085,1942,0.8395770895770895,0.16167166167166167,27122,25395,1817,0.936324754811592,0.06699358454391269
20,2016,6085,4510,1657,0.7411668036154478,0.2723089564502876,12027,10027,1835,0.8337074914775089,0.15257337656938555,27212,25571,1849,0.9396957224753785,0.06794796413347053
21,2017,6167,4568,1594,0.7407167180152424,0.2584725149991892,11862,9951,1906,0.8388973191704603,0.1606811667509695,27420,25684,1830,0.936688548504741,0.06673960612691467
22,2018,6162,4611,1685,0.7482960077896786,0.27345017851346964,11857,9933,1942,0.8377329847347559,0.16378510584464873,27514,25906,1812,0.9415570255142837,0.06585738169659083
23,2019,6296,4746,1612,0.7538119440914867,0.2560355781448539,11875,9958,1839,0.8385684210526316,0.15486315789473684,27718,25903,1644,0.934519085071073,0.05931163864636698
24,2020,6358,4541,1293,0.7142183076439131,0.2033658383139352,11797,9669,1617,0.8196151563956938,0.13706874629143004,27547,25699,1474,0.9329146549533525,0.053508549025302214
25,2021,5834,4532,1832,0.7768255056564964,0.314021254713747,11286,9612,2192,0.8516746411483254,0.19422293106503632,27173,25678,1829,0.9449821514002871,0.0673094615979097
26,2022,6364,4761,1500,0.7481143934632307,0.23570081709616594,11804,9956,1916,0.8434429007116232,0.16231785835310064,27507,25850,1626,0.939760788163013,0.05911222597884175
27,2023,6261,4834,1630,0.7720811371985306,0.26034179843475486,11872,10015,1801,0.8435815363881402,0.15170148247978438,27476,25792,1582,0.9387101470374145,0.05757752220119377
