"","Estimate_u","lCI_u","OR_u","uCI_u","pvals_u","model_terms"
"1",0.328768310508,1.3405,1.3893,1.4398,1.44046273603291e-72,"Form(1)~nodecov.D_log_gdp_pct"
"2",-0.602081470427066,0.5176,0.5477,0.5795,1.21610779361744e-96,"Form(1)~absdiff.D_log_gdp_pct"
"3",0.528066773245183,1.6599,1.6957,1.7322,0,"Form(1)~mix.development.1.0"
"4",1.07003384696421,2.8577,2.9155,2.9744,0,"Form(1)~mix.development.0.1"
"5",1.92150612222023,6.6465,6.8312,7.0212,0,"Form(1)~mix.development.1.1"
"6",0.623289895651641,1.834,1.8651,1.8966,0,"Form(1)~edgecov.net_dynamic_hyst_u"
"7",-0.0777505243923746,0.9094,0.9252,0.9413,1.15413420927484e-18,"Form(1)~edgecov.net_dynamic_rta"
"8",0.305332733288019,1.3336,1.3571,1.381,5.40359250563847e-257,"Form(1)~nodematch.landlocked"
"9",-0.398906905768566,0.6694,0.6711,0.6727,0,"Form(1)~edgecov.log_dist"
"10",0.342247227667894,1.331,1.4081,1.4897,1.11245064392171e-32,"Form(1)~edgecov.contig_mat"
"11",0.492485158405036,1.5401,1.6364,1.7387,5.15583706817141e-57,"Form(1)~edgecov.colony"
"12",-0.0896914749672389,0.8891,0.9142,0.94,2.72718084143314e-10,"Form(1)~edgecov.col_mat"
"13",-0.00494315061679166,0.9729,0.9951,1.0178,0.667858420353927,"Form(1)~edgecov.lang_mat"
"14",1.65414758972871,5.1224,5.2286,5.337,0,"Form(1)~mutual"
"15",-0.511981511380669,0.5688,0.5993,0.6314,3.23417383881199e-82,"Persist(1)~nodecov.D_log_gdp_pct"
"16",0.0765890780902866,0.9924,1.0796,1.1745,0.0747865061450128,"Persist(1)~absdiff.D_log_gdp_pct"
"17",0.352319832639374,1.3785,1.4224,1.4676,1.31673261484684e-107,"Persist(1)~mix.development.1.0"
"18",1.0579050925671,2.8008,2.8803,2.9621,0,"Persist(1)~mix.development.0.1"
"19",1.81866439974783,5.8961,6.1636,6.4433,0,"Persist(1)~mix.development.1.1"
"20",0.791086887687023,2.1463,2.2058,2.267,0,"Persist(1)~edgecov.net_dynamic_hyst_u"
"21",-0.11579981539471,0.8702,0.8907,0.9116,1.45988774193582e-22,"Persist(1)~edgecov.net_dynamic_rta"
"22",0.277590371189446,1.2891,1.3199,1.3515,3.20284223642972e-117,"Persist(1)~nodematch.landlocked"
"23",-0.218488542108067,0.8007,0.8037,0.8068,0,"Persist(1)~edgecov.log_dist"
"24",0.510972161048282,1.5598,1.6669,1.7814,2.53612092462338e-51,"Persist(1)~edgecov.contig_mat"
"25",0.0548644221404146,0.9865,1.0564,1.1312,0.11615278075051,"Persist(1)~edgecov.colony"
"26",-0.0805716288006622,0.8838,0.9226,0.9631,0.000239592129082973,"Persist(1)~edgecov.col_mat"
"27",0.0134315399933544,0.9823,1.0135,1.0458,0.400600607585529,"Persist(1)~edgecov.lang_mat"
"28",1.75021576811094,5.5739,5.7558,5.9437,0,"Persist(1)~mutual"
